Station or stop;Name;Coordinate Latitude;Coordinate Longitude;Number of train rides;Minutes of delay
80240309;OCHTMERSLEBEN;52.145441;11.383012;48.30094043887147;3.5454545454545454
80224022;PLEINFELD;49.1081;10.978678;30.973597359735972;28.28052805280528
80067132;SYRAU;50.545784;12.085853;15.347058823529412;2.135294117647059
80101147;BOCHUM-LANGENDREER;51.4788;7.317961;35.79719703215169;28.61088211046991
80136911;ISERNHAGEN;52.486035;9.803747;15.34703196347032;1.817351598173516
80040063;ODERIN;52.075088;13.7287;20.87769784172662;0.0
80273227;DERGENTHIN;53.084503;11.750321;23.41296928327645;8.276450511945393
80163212;GOESCHWITZ(SAALE);50.88511;11.5926;19.158536585365855;34.079268292682926
80035287;NAUEN;52.614277;12.886813;17.652830188679246;9.116981132075471
80113324;LADENBURG;49.473732;8.602613;56.62776025236593;29.400630914826497
80151902;HERZOGENRATH;50.868576;6.093125;13.184466019417476;9.325242718446601
80226704;WUERZBURG-HEIDINGSFELD OST;49.762775;9.953338;66.903125;68.2
80040105;LUEBBEN HBF;51.940507;13.879356;20.770318021201412;12.356890459363958
80153429;AACHEN-ROTHE ERDE;50.778159;6.126536;22.922558922558924;12.205387205387206
80128991;DUESSELDORF HBF;51.221261;6.794032;15.6;23.9
80130492;ROSDORF;51.50104;9.910317;74.659375;8.890625
80231266;ZOEBERITZ;51.5063;12.034095;27.587548638132297;1.0428015564202335
80226035;PARTENSTEIN;50.03973;9.5248;38.98675496688742;14.360927152317881
80190462;INGELHEIM;49.977194;8.05416;33.166666666666664;17.98
80297770;FREUDENSTEIN;49.038059;8.806269;15.675;3.315
80143297;KOENDRINGEN;48.13829;7.8039;50.43260188087774;11.943573667711599
80230086;MERSEBURG;51.355437;11.99305;49.51954397394137;29.672638436482085
80012955;NEUMUENSTER;54.085276;9.983993;29.21553090332805;103.98573692551506
80159509;DACHAU BAHNHOF;48.25468;11.444295;33.085443037974684;14.35126582278481
80197681;ERFURT HBF;50.972508;11.038025;23.664233576642335;39.57664233576642
80135160;VOELKSEN/ELDAGSEN;52.211875;9.626528;23.573033707865168;0.0
80204289;WOLNZACH BAHNHOF;48.608099;11.572405;33.5615141955836;15.22397476340694
80389981;HUDE-LANGENBERG;53.102689;8.484588;27.566037735849058;0.0
80222984;PEGNITZ;49.759427;11.548431;12.077519379844961;2.565891472868217
80234013;EILENBURG;51.45385;12.637152;18.390134529147982;137.79372197309416
80295196;ENDERSBACH;48.81423;9.37128;11.213235294117647;2.3676470588235294
80297549;LAUDA;49.567064;9.710584;16.19371727748691;26.51832460732984
80263103;SINZING (B REGENSBURG);48.997252;12.033546;13.558510638297872;23.6968085106383
80296129;WALHEIM (WUERTT);49.010746;9.151999;27.429133858267715;19.641732283464567
80132480;BEDDINGEN;52.219118;10.447673;18.22532894736842;210.71052631578948
80062265;COSWIG(BZ DRESDEN);51.125418;13.578195;24.325383304940374;126.2793867120954
80174805;NEUSS ALLERHEILIGEN;51.142673;6.755287;35.145270270270274;5.361486486486487
80155507;KOELN-KALK NORD;50.940657;7.015438;71.63340563991324;82.97903109182936
80295063;WILFERDINGEN-SINGEN;48.954163;8.5739;15.077720207253886;15.590673575129534
80137067;WALLE (KR VERDEN);52.966869;9.255976;24.518828451882847;37.62761506276151
80254235;SULZBACH (SAAR) ALTENWALD;49.312062;7.078341;30.08150470219436;0.0
80132571;HAEMELERWALD;52.355429;10.111789;80.071875;39.675
80918730;KOBLENZ STADTMITTE;50.358074;7.590024;45.76875;0.0
